Username,Numbers,Rank,rankLevel,mainrole,Main
pufferfish,#1288,platinum ,3,duelist,pheonix
Scallop,#roy,immortal,1,duelist,reyna
Coconut,#bae,iron,3,duelist,pheonix
Inuyasha,#hmph,iron,2,initiator,skye
L3G4SIS,#5773,silver,2,sentinel,chamber
Lobster,#5075,silver,2,sentinel,killjoy
bombo,#90035,bronze,3,duelist,pheonix
adderall,#145,platinum ,3,controller,clove
Kyot,#Kaa,ascendant,1,duelist,neon
3z3r5,#3z3r5,iron,3,duelist,waylay
Squid,#0740,bronze,1,sentinel,sage
richchin,#chin,bronze,1,duelist,neon
Lobster,#969,silver,3,controller,clove
CurryM4N,#CURRY,iron,3,duelist,reyna
Spilot,#N8V,ascendant,1,initiator,gekko
kiwi,#zkak,platinum ,3,initiator,fade
ZEezE,#ttv,ascendant,1,controller,clove
erza,#xxxx,immortal,1,duelist,reyna
spraynpray,#867,iron,3,controller,miks
elephant,#ellie,silver,2,controller,miks
zahra,#0412,diamond,1,duelist,reyna
warcheetah,#GaZe,ascendant,3,controller,viper
stingray,#1649,silver,2,duelist,yoru
kaiL,#5106,silver,1,sentinel,veto
WHALE,#1005,platinum ,3,sentinel,chamber
JoyTheJatt,#Singh,iron,1,sentinel,killjoy
slipknot,#1944,silver,1,duelist,pheonix
Override,#9505,immortal,1,controller,miks
clam,#6275,gold,1,sentinel,chamber
Ja4ce,#9925,iron,1,initiator,fade
whale,#0000,silver,1,duelist,jett
Squid,#0731,silver,2,initiator,skye
Needless,#4352,bronze,2,sentinel,sage
shark,#0208,bronze,3,duelist,jett
mysterious,#52778,platinum ,3,controller,miks
JoNaADz,#5492,diamond,3,initiator,sova
fish,#0707,bronze,1,initiator,kayo
DemonT4ng,#1tap,diamond,1,controller,miks
shrimp,#2004,silver,1,duelist,raze
Bear,#070,gold,3,duelist,reyna
Shrimp,#2509,bronze,1,controller,clove
akazaa,#3275,bronze,2,duelist,neon
morosis,#dumb,platinum ,1,duelist,reyna
elephant,#1337,platinum ,2,duelist,reyna
Shark,#00010,gold,1,duelist,pheonix
fish,#105,iron,3,initiator,gekko
eel,#670,bronze ,2,sentinel,killjoy
Tear,#luvme,diamond,3,controller,miks
dolphin,#2005,ascendant,1,duelist,jett
Dolphin,#0909,gold,1,duelist,reyna
squid,#4041,diamond,3,duelist,waylay
coral,#8365,bronze,3,duelist,jett
agravatedorange,#7603,iron ,2,sentinel,cypher
Kritmare,#Sh3wn,platinum ,1,sentinel,vyse
Jellyfish,#0228,silver,3,duelist,jett
shrimp,#1503,gold,2,sentinel,sage
CL0VER4EV3R,#Mwuah,iron,1,controller,omen
Kal,#xoxo,ascendant,2,sentinel,chamber
tylerbigboy29,#drago,bronze,1,initiator,sova
